text,label
John Smith,0
Maria Garcia,0
Li Wei,0
David Chen,0
Fatima Al-Sayed,0
Jean-Luc Martin,0
Anna-Sophie Müller,0
Robert Downey Jr.,0
William Gates III,0
J. R. R. Tolkien,0
Dr. Evelyn Reed,0
O'Connell,0
xX_DragonSlayer_99,1
ProGamer123,1
CodeNinja,1
serenity_now,1
CryptoKing_88,1
ash_ketchum_fan,1
TheRealDeal,1
ByteMaster,1
shadow-runner-2k,1
l33t_h4x0r,1
user-19842,1
MaxPower,1
Innovate Solutions Inc.,2
QuantumLeap Technologies Ltd.,2
Global Data Analytics LLC,2
Apex Industries,2
Starlight Group,2
CyberDyne Systems Corp.,2
Smith & Jones Consulting,2
Bob's Tech Repair,2
FutureWorks Labs,2
Digital Frontier Services,2
OpenAI,2
Microsoft Corporation,2
